exit_date,net_pnl,equity,daily_return,peak_equity,drawdown,drawdown_pct
2025-06-20,45.7093,10112.3163,0.0045,10112.3163,0.0000,0.0000
2025-06-25,5.6668,10117.9832,0.0006,10117.9832,0.0000,0.0000
2025-06-26,-2.3405,10115.6427,-0.0002,10117.9832,-2.3405,-0.0002
2025-06-28,-3.6663,10111.9764,-0.0004,10117.9832,-6.0067,-0.0006
2025-06-29,31.0110,10142.9874,0.0031,10142.9874,0.0000,0.0000
2025-07-04,-60.6054,10082.3820,-0.0060,10142.9874,-60.6054,-0.0060
2025-07-08,5.4659,10087.8479,0.0005,10142.9874,-55.1395,-0.0054
2025-07-09,10.3807,10098.2286,0.0010,10142.9874,-44.7588,-0.0044
2025-07-10,-66.8160,10031.4126,-0.0066,10142.9874,-111.5748,-0.0110
2025-07-12,-9.5941,10021.8185,-0.0010,10142.9874,-121.1689,-0.0119
2025-07-16,-39.6105,9982.2080,-0.0040,10142.9874,-160.7794,-0.0159
2025-07-21,-87.3539,9894.8541,-0.0088,10142.9874,-248.1333,-0.0245
2025-07-24,-4.4724,9890.3817,-0.0005,10142.9874,-252.6058,-0.0249
2025-07-26,62.7668,9953.1485,0.0063,10142.9874,-189.8389,-0.0187
2025-07-28,-53.1081,9900.0404,-0.0053,10142.9874,-242.9470,-0.0240
2025-07-29,-5.8110,9894.2295,-0.0006,10142.9874,-248.7579,-0.0245
2025-07-30,12.3152,9906.5446,0.0012,10142.9874,-236.4428,-0.0233
2025-08-02,3.0327,9909.5773,0.0003,10142.9874,-233.4101,-0.0230
2025-08-07,15.5691,9925.1464,0.0016,10142.9874,-217.8410,-0.0215
2025-08-08,17.1633,9942.3097,0.0017,10142.9874,-200.6777,-0.0198
2025-08-09,1.4360,9943.7456,0.0001,10142.9874,-199.2418,-0.0196
2025-08-13,14.1937,9957.9393,0.0014,10142.9874,-185.0481,-0.0182
2025-08-16,-16.0875,9941.8518,-0.0016,10142.9874,-201.1356,-0.0198
2025-08-17,-31.9409,9909.9109,-0.0032,10142.9874,-233.0765,-0.0230
2025-08-18,20.7385,9930.6495,0.0021,10142.9874,-212.3380,-0.0209
2025-08-21,30.1214,9960.7708,0.0030,10142.9874,-182.2166,-0.0180
2025-08-23,16.3836,9977.1544,0.0016,10142.9874,-165.8330,-0.0163
2025-08-24,-11.3866,9965.7678,-0.0011,10142.9874,-177.2196,-0.0175
2025-08-28,-2.1037,9963.6641,-0.0002,10142.9874,-179.3233,-0.0177
2025-08-29,46.8768,10010.5409,0.0047,10142.9874,-132.4465,-0.0131
2025-08-31,-11.8600,9998.6810,-0.0012,10142.9874,-144.3065,-0.0142
2025-09-02,62.0255,10060.7065,0.0062,10142.9874,-82.2810,-0.0081
2025-09-03,3.9741,10064.6805,0.0004,10142.9874,-78.3069,-0.0077
